epoch,mAP@50,mAP
319,0.497,0.344
320,0.498,0.344
321,0.497,0.344
322,0.497,0.344
323,0.498,0.345
324,0.498,0.345
325,0.498,0.345
326,0.497,0.345
327,0.498,0.344
328,0.498,0.344
329,0.498,0.344
330,0.498,0.345
331,0.498,0.345
332,0.498,0.345
333,0.497,0.345
334,0.498,0.345
335,0.498,0.345
336,0.499,0.346
337,0.499,0.345
338,0.499,0.345
339,0.499,0.346
340,0.499,0.346
341,0.499,0.346
342,0.499,0.346
343,0.499,0.346
344,0.498,0.345
345,0.499,0.346
346,0.500,0.346
347,0.500,0.346
348,0.499,0.346
349,0.500,0.346
350,0.500,0.346
351,0.500,0.346
352,0.500,0.347
353,0.500,0.347
354,0.499,0.346
355,0.500,0.347
356,0.500,0.346
357,0.500,0.347
358,0.500,0.347
359,0.500,0.346
360,0.500,0.347
361,0.500,0.347
362,0.500,0.347
363,0.500,0.348
364,0.501,0.347
365,0.500,0.348
366,0.501,0.348
367,0.501,0.348
368,0.501,0.349
369,0.502,0.349
370,0.502,0.348
371,0.502,0.348
372,0.502,0.349
373,0.503,0.349
374,0.502,0.349
375,0.503,0.349
376,0.503,0.350
377,0.504,0.350
378,0.505,0.351
379,0.504,0.351
380,0.504,0.350
381,0.505,0.350
382,0.505,0.350
383,0.505,0.350
384,0.505,0.350
385,0.505,0.351
386,0.505,0.351
387,0.505,0.351
388,0.505,0.351
389,0.506,0.351
390,0.506,0.352
391,0.506,0.352
392,0.506,0.352
393,0.506,0.352
394,0.506,0.351
395,0.506,0.352
396,0.507,0.352
397,0.507,0.352
398,0.507,0.353
399,0.507,0.353
400,0.507,0.352
401,0.508,0.353
402,0.508,0.353
403,0.507,0.352
404,0.507,0.352
405,0.508,0.352
406,0.508,0.353
407,0.508,0.353
408,0.508,0.352
409,0.508,0.352
410,0.508,0.352
411,0.509,0.352
412,0.509,0.353
413,0.508,0.353
414,0.509,0.353
415,0.509,0.353
416,0.510,0.353
417,0.509,0.353
418,0.510,0.353
419,0.510,0.354
420,0.511,0.354
421,0.511,0.354
422,0.511,0.355
423,0.511,0.355
424,0.511,0.355
425,0.512,0.355
426,0.511,0.355
427,0.511,0.355
428,0.512,0.356
429,0.513,0.355
430,0.512,0.356
431,0.513,0.356
432,0.513,0.356
433,0.513,0.356
434,0.513,0.356
435,0.513,0.356
436,0.514,0.357
437,0.514,0.357
438,0.515,0.357
439,0.514,0.357
440,0.514,0.357
441,0.514,0.357
442,0.514,0.357
443,0.515,0.358
444,0.516,0.358
445,0.516,0.359
446,0.516,0.359
447,0.516,0.359
448,0.516,0.359
449,0.516,0.359
450,0.517,0.359
451,0.517,0.359
452,0.517,0.359
453,0.517,0.359
454,0.516,0.359
455,0.517,0.359
456,0.517,0.359
457,0.518,0.359
458,0.518,0.359
459,0.518,0.360
460,0.518,0.360
461,0.518,0.360
462,0.518,0.360
463,0.518,0.360
464,0.518,0.360
465,0.519,0.361
466,0.519,0.361
467,0.519,0.361
468,0.519,0.361
469,0.519,0.361
470,0.519,0.361
471,0.519,0.361
